Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50867689,The Land: Swarm: A Litrpg Saga (Chaos Seeds),Aleron Kong,"Kong, Aleron",,"=""1643160478""","=""9781643160474""",0,4.34,Tamori Publications LLC,Hardcover,480,2018,2016,,2024/01/17,to-read,to-read (#439),to-read,,,,0,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",4,3.80,William Morrow,Hardcover,336,2023,2023,2024/01/15,2024/01/01,,,read,,,,1,0
7723892,"Masters Of Greek Thought: Plato, Socrates, And Aristotle",Robert C. Bartlett,"Bartlett, Robert C.",,"=""159803443X""","=""9781598034431""",3,4.05,The Great Courses,Audible Audio,19,2008,2008,2024/01/13,2024/01/04,,,read,,,,1,0
1091478,Noon: 22nd Century,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Patrick L. McGuire, Theodore Sturgeon, Richard M. Powers","=""0026151502""","=""9780026151504""",0,4.00,Macmillan Publishing Co.,Hardcover,319,1978,1961,,2024/01/12,to-read,to-read (#438),to-read,,,,0,0
40030019,No. More. Plastic.: What you can do to make a difference – the #2minutesolution,Martin Dorey,"Dorey, Martin",Chris Packham,"=""""","=""""",0,4.02,Ebury Digital,Kindle Edition,103,2018,2018,,2024/01/05,to-read,to-read (#437),to-read,,,,0,0
6936019,"The Story of Stuff: How Our Obsession with Stuff is Trashing the Planet, Our Communities, and our Health—and a Vision for Change",Annie Leonard,"Leonard, Annie",,"=""143912566X""","=""9781439125663""",0,4.08,Free Press,Hardcover,352,2010,2010,,2024/01/05,to-read,to-read (#436),to-read,,,,0,0
57434151,"Harlots, Whores & Hackabouts: A History of Sex for Sale",Kate  Lister,"Lister, Kate",,"=""0500252440""","=""9780500252444""",0,4.23,Thames & Hudson,Hardcover,256,2021,,,2024/01/02,to-read,to-read (#435),to-read,,,,0,0
54776211,A Fatal Thing Happened on the Way to the Forum: Murder in Ancient Rome,Emma Southon,"Southon, Emma",,"=""1419753053""","=""9781419753053""",0,4.10,Harry N. Abrams,Hardcover,352,2021,2020,,2024/01/02,to-read,to-read (#434),to-read,,,,0,0
57866482,"Defiance of the Fall (Defiance of the Fall, #1)",TheFirstDefier,"TheFirstDefier, TheFirstDefier",J.F. Brink,"=""""","=""""",3,4.38,Aethon Books,Kindle Edition,765,2021,2021,2024/01/02,2023/09/13,,,read,,,,1,0
62586003,Ultra-Processed People: The Science Behind Food That Isn't Food,Chris van Tulleken,"Tulleken, Chris van",,"=""1324036729""","=""9781324036722""",0,4.44,W. W. Norton & Company,Hardcover,384,2023,2023,,2024/01/02,to-read,to-read (#433),to-read,,,,0,0
11099729,Darth Plagueis (Star Wars),James Luceno,"Luceno, James",,"=""034551128X""","=""9780345511287""",0,4.16,"LucasBooks/Del Rey Books/Ballantine Books/Random House, Inc.",Hardcover,379,2012,2012,,2024/01/02,to-read,to-read (#432),to-read,,,,0,0
4443,The Different Drum: Community Making and Peace,M. Scott Peck,"Peck, M. Scott",,"=""0684848589""","=""9780684848587""",0,3.93,Touchstone,Paperback,334,1998,1987,,2024/01/01,to-read,to-read (#431),to-read,,,,0,0
37424706,The Art of Gathering: How We Meet and Why It Matters,Priya Parker,"Parker, Priya",,"=""1594634920""","=""9781594634925""",0,3.98,Riverhead Books,Hardcover,304,2018,2018,,2024/01/01,to-read,to-read (#430),to-read,,,,0,0
232438,Creating a Life Together: Practical Tools to Grow Ecovillages and Intentional Communities,Diana Leafe Christian,"Christian, Diana Leafe",Patch Adams,"=""0865714711""","=""9780865714717""",0,4.18,New Society Publishers,Paperback,272,2003,2003,,2024/01/01,to-read,to-read (#429),to-read,,,,0,0
676416,Farming for Self-Sufficiency: Independence on a 5-Acre Farm,John Seymour,"Seymour, John",,"=""0805235256""","=""9780805235258""",0,4.07,Pendulum Press,Paperback,256,1987,1987,,2024/01/01,to-read,to-read (#428),to-read,,,,0,0
2369328,Country Women: A Handbook for the New Farmer,Jeanne Tetrault,"Tetrault, Jeanne",Sherry  Thomas,"=""0385030622""","=""9780385030625""",0,4.41,Doubleday,Paperback,381,1976,1976,,2024/01/01,to-read,to-read (#427),to-read,,,,0,0
61358638,"Poverty, by America",Matthew Desmond,"Desmond, Matthew",,"=""0593239911""","=""9780593239919""",0,4.28,Crown,Hardcover,284,2023,2023,,2024/01/01,to-read,to-read (#426),to-read,,,,0,0
55559974,"Iron Prince (Warformed: Stormweaver, #1)",Bryce O'Connor,"O'Connor, Bryce",Luke Chmilenko,"=""099919206X""","=""""",0,4.59,"Wraithmarked Creative, LLC",Kindle Edition,850,2020,2020,,2022/08/27,abandoned,abandoned (#35),abandoned,,,,0,0
60784614,Cobalt Red: How the Blood of the Congo Powers Our Lives,Siddharth Kara,"Kara, Siddharth",,"=""1250284309""","=""9781250284303""",5,4.38,St. Martin's Press,Hardcover,288,2023,2023,2023/12/21,2023/12/12,,,read,"A must read for anyone in tech, anyone in the sciences, anyone with a heart. ",,,1,0
131499749,"He Who Fights with Monsters 10 (He Who Fights with Monsters, #10)",Shirtaloon,"Shirtaloon, Shirtaloon",,"=""""","=""""",5,4.55,Aethon Books,Kindle Edition,758,2023,2023,2023/12/15,2023/11/15,,,read,,,,1,0
40514420,How Music and Mathematics Relate,David Kung,"Kung, David",,"=""1598039741""","=""9781598039740""",0,3.93,Great Courses,Audio CD,120,2013,2013,,2023/06/20,abandoned,abandoned (#34),abandoned,,,,0,0
123852910,"Azarinth Healer: Book Two (Azarinth Healer, #2)",Rhaegar,"Rhaegar, Rhaegar",,"=""""","=""""",0,4.49,Portal Books,Kindle Edition,719,2023,2023,,2023/12/11,to-read,to-read (#425),to-read,,,,0,0
63260494,"Azarinth Healer: Book One (Azarinth Healer, #1)",Rhaegar,"Rhaegar, Rhaegar",,"=""""","=""""",0,4.53,Portal Books,Kindle Edition,708,2022,2022,,2023/12/11,to-read,to-read (#424),to-read,,,,0,0
68046804,He Who Fights with Monsters 9 (He Who Fights with Monsters #9),Shirtaloon,"Shirtaloon, Shirtaloon",Travis Deverell,"=""""","=""""",5,4.57,Aethon Books,Kindle Edition,662,2023,2023,2023/12/09,2023/11/15,,,read,,,,1,0
62331485,"He Who Fights With Monsters 8 (He Who Fights with Monsters, #8)",Shirtaloon,"Shirtaloon, Shirtaloon",Travis Deverell,"=""""","=""""",3,4.51,Aethon Books,Kindle Edition,624,2022,2022,2023/11/30,2023/11/15,,,read,,,,1,0
40529986,"Food, Science and the Human Body",Alyssa Crittenden,"Crittenden, Alyssa",,"=""""","=""""",4,3.78,,Audible Audio,18,,,2023/11/25,2023/10/23,,,read,,,,1,0
61379442,"He Who Fights With Monsters 7 (He Who Fights with Monsters, #7)",Shirtaloon,"Shirtaloon, Shirtaloon",Travis Deverell,"=""""","=""""",3,4.59,Aethon Books,Kindle Edition,622,2022,2022,2023/11/21,2023/11/15,,,read,,,,1,0
60725860,"He Who Fights with Monsters 6 (He Who Fights with Monsters, #6)",Shirtaloon,"Shirtaloon, Shirtaloon",Travis Deverell,"=""""","=""""",4,4.52,Aethon Books,Kindle Edition,564,2022,2022,2023/11/18,2023/11/15,,,read,,,,1,0
59906678,"He Who Fights with Monsters 5 (He Who Fights with Monsters, #5)",Shirtaloon,"Shirtaloon, Shirtaloon",Travis Deverell,"=""""","=""""",4,4.50,Aethon Books,Kindle Edition,759,2022,2022,2023/11/15,2023/11/11,,,read,,,,1,0
58821848,"He Who Fights with Monsters 4 (He Who Fights with Monsters, #4)",Shirtaloon,"Shirtaloon, Shirtaloon",,"=""""","=""""",5,4.54,Aethon Books,Kindle Edition,828,2021,2021,2023/11/11,2023/11/06,,,read,,,,1,0
58088499,"He Who Fights with Monsters 3 (He Who Fights with Monsters, #3)",Shirtaloon,"Shirtaloon, Shirtaloon",,"=""""","=""""",4,4.51,Aethon Books,Kindle Edition,895,2021,2021,2023/11/06,2023/11/01,,,read,,,,1,0
25387895,The Confidence Game: Why We Fall for It . . . Every Time,Maria Konnikova,"Konnikova, Maria",,"=""0525427414""","=""9780525427414""",0,3.65,Viking,Hardcover,352,2016,2015,,2023/11/02,to-read,to-read (#395),to-read,,,,0,0
