Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,read_dates,genres,n_ratings
45047384,"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,"Klune, T.J.",,"=""""","=""""",0,4.40,Tor Books,Kindle Edition,394,2020,2020,,2024/05/28,to-read,to-read (#478),to-read,,,,0,0,,Fantasy|18547;Fiction|5147;Lgbtq|3840;Romance|3201;Lgbt|2742;Books I Own|2311;Book Club|2097;Queer|1994;Young Adult|1881,674770
60085,Kant: A Very Short Introduction,Roger Scruton,"Scruton, Roger",,"=""0192801996""","=""9780192801999""",3,3.78,Oxford University Press,Paperback,141,2001,1983,2024/05/27,2024/05/27,,,read,I went in expecting to be swept away by such a prominent philosopher. Instead I'm mostly disgusted. His ideals on ethics and women are so opposing - how can we respect the ethical perspectives of someone who openly favored no education for women except for raising children and considered women unable to even consider his Philosophical framework. Hypocrite.,,,1,0,"2024-05-27,2024-05-27",Philosophy|489;Non Fiction|79,1837
208099994,"Heretical Fishing: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,"Jobson, Haylock",,"=""1039453112""","=""9781039453111""",5,4.43,Podium Publishing,Kindle Edition,533,2024,,2024/05/27,2024/05/21,,,read,"Cozy is correct. A fresh feel for what is technically a LitRPG but really just a story about a Fischer wanting to live up to his new namesake, and meet a bunch of villager friends along the way.",,,1,0,"2024-05-21,2024-05-27",Fantasy|62;Litrpg|49;Scifi Fantasy|38;Sci Fi Fantasy|37;My Library|36;Home Library|35;Fantasy Sci Fi|33;To Buy|32;Speculative Fiction|32;5 Stars|31;Novels|30;Magic|29;All Time Favorites|29;Fantasy Science Fiction|28;Fiction|28;Epic|27;Adventure|27;Fantasy And Sci Fi|27;Epic Fantasy|26;High Fantasy|25,2197
60288155,Portal to Nova Roma,J.R.  Mathews,"Mathews, J.R.",,"=""""","=""""",0,4.50,,Kindle Edition,740,2022,2022,,2024/05/26,to-read,to-read (#477),to-read,,,,0,0,,Litrpg|98;Fantasy|71;Progression Fantasy|11;Isekai|11;Science Fiction|10,3663
61379444,"Mark of the Fool (Mark of the Fool, #1)",J.M.     Clarke,"Clarke, J.M.",,"=""""","=""""",0,4.34,Aethon Books,Kindle Edition,722,2022,2022,,2024/05/25,to-read,to-read (#476),to-read,,,,0,0,,Fantasy|223;Litrpg|67;Progression Fantasy|33;Audible|23,5738
210360523,"I Ran Away to Evil (I Ran Away to Evil, #1)",Mystic Neptune,"Neptune, Mystic",,"=""1039454240""","=""9781039454248""",0,4.35,Podium Publishing,Kindle Edition,435,2024,,,2024/05/24,to-read,to-read (#475),to-read,,,,0,0,,Fantasy|30;Romance|17;Cozy Fantasy|10;Litrpg|8;Magic|5;Kindle Unlimited|5;Cozy|5;Romantasy|4;Dragons|4;Young Adult|3;Fantasy Romance|3;Cozy Mystery|3;Lit Rpg|3;Series|3;Comedy|3,278
23129811,On Palestine,Noam Chomsky,"Chomsky, Noam","Ilan Pappé, Frank Barat","=""1608464709""","=""9781608464708""",0,4.25,Haymarket Books,Paperback,220,2015,2015,,2024/05/20,to-read,to-read (#474),to-read,,,,0,0,,Non Fiction|577;Palestine|463;Politics|375;History|319;Nonfiction|211;Middle East|91;Israel Palestine|69,8254
29939230,"A Conjuring of Light (Shades of Magic, #3)",Victoria Schwab,"Schwab, Victoria",,"=""0765387468""","=""9780765387462""",4,4.31,Tor,Hardcover,624,2017,2017,2024/05/20,2024/05/17,,,read,,,,1,0,"2024-05-17,2024-05-20",Fantasy|9595;Books I Own|1369;Fiction|1129;Young Adult|990,166832
20764879,"A Gathering of Shadows (Shades of Magic, #2)",Victoria Schwab,"Schwab, Victoria",,"=""0765376474""","=""9780765376473""",5,4.21,Tor,Hardcover,512,2016,2016,2024/05/17,2024/04/12,,,read,,,,1,0,"2024-05-14,2024-05-17",Fantasy|11549;Books I Own|1549;Fiction|1385;Young Adult|1281,203389
57540,The Ethnic Cleansing of Palestine,Ilan Pappé,"Pappé, Ilan",,"=""1851684670""","=""9781851684670""",0,4.53,Oneworld Publications,Hardcover,320,2006,2006,,2024/05/16,to-read,to-read (#473),to-read,,,,0,0,,History|876;Palestine|744;Non Fiction|675;Politics|343;Nonfiction|342;Middle East|190;Israel Palestine|143,7619
